2021-02-02 10:31:34:	warmed up the filament remotely this morning
2021-02-02 10:31:39:	about to turn it on for low mag cook
2021-02-02 10:31:43:	sectino 685
2021-02-02 10:31:56:	clicked ON
2021-02-02 10:32:00:	aperture is open
2021-02-02 10:32:44:	initial bright current: 62.9
2021-02-02 14:26:25:	600
2021-02-02 14:26:29:	602
2021-02-02 14:26:32:	600
2021-02-02 14:26:46:	597
2021-02-02 14:27:15:	596
2021-02-02 14:27:42:	599
2021-02-02 14:27:49:	596
2021-02-02 14:27:53:	594
2021-02-02 14:28:02:	595
2021-02-02 14:28:06:	600
2021-02-02 14:28:10:	599
2021-02-02 14:28:13:	600
2021-02-02 14:28:16:	599
2021-02-02 14:28:35:	598
2021-02-02 14:28:38:	599
2021-02-02 14:28:42:	597
2021-02-02 14:29:11:	602
2021-02-02 14:29:13:	596
2021-02-02 14:29:46:	595
2021-02-02 14:29:56:	597
2021-02-02 14:30:03:	600
2021-02-02 14:30:42:	596
2021-02-02 14:31:28:	600
2021-02-02 14:31:33:	595
2021-02-02 14:31:37:	603
